Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
271.0,235.0,I,76.0,Y,227.0,275.0,H,11.0,Z,90.0,-33.03,0.0,-0.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
244.0,235.0,I,76.0,Y,228.0,275.0,H,11.0,Z,90.0,-32.59,0.01,0.16,0.0,0.09,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
245.0,235.0,I,76.0,Y,228.0,275.0,H,11.0,Z,90.0,-30.76,-0.01,0.13,0.0,0.08,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,2.0
271.0,235.0,I,76.0,Y,228.0,275.0,H,11.0,Z,90.0,-33.03,0.0,-0.01,0.0,0.09,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
272.0,235.0,I,76.0,Y,228.0,275.0,H,11.0,Z,90.0,-32.55,0.0,-0.04,0.0,0.08,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,2.0
245.0,235.0,I,76.0,Y,229.0,275.0,H,11.0,Z,90.0,-30.76,-0.01,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
246.0,235.0,I,76.0,Y,229.0,275.0,H,11.0,Z,90.0,-31.08,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
272.0,235.0,I,76.0,Y,229.0,275.0,H,11.0,Z,90.0,-32.55,0.0,-0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
273.0,235.0,I,76.0,Y,229.0,275.0,H,11.0,Z,90.0,-31.52,0.0,-0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
246.0,235.0,I,76.0,Y,230.0,275.0,H,11.0,Z,90.0,-31.08,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
247.0,235.0,I,76.0,Y,230.0,275.0,H,11.0,Z,90.0,-33.01,0.0,0.14,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
273.0,235.0,I,76.0,Y,230.0,275.0,H,11.0,Z,90.0,-31.52,0.0,-0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
274.0,235.0,I,76.0,Y,230.0,275.0,H,11.0,Z,90.0,-33.45,0.0,-0.03,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
247.0,235.0,I,76.0,Y,231.0,275.0,H,11.0,Z,90.0,-33.01,0.0,0.14,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
248.0,235.0,I,46.0,Y,231.0,275.0,H,11.0,Z,90.0,-23.58,0.0,0.09,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
274.0,235.0,I,76.0,Y,231.0,275.0,H,11.0,Z,90.0,-33.45,0.0,-0.03,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,2.0
275.0,235.0,I,46.0,Y,231.0,275.0,H,11.0,Z,90.0,-24.1,0.0,-0.1,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
264.0,235.0,I,46.0,Y,232.0,275.0,H,11.0,Z,90.0,-21.65,0.0,-0.07,0.0,0.09,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
265.0,235.0,I,76.0,Y,232.0,275.0,H,11.0,Z,90.0,-36.77,0.0,-0.25,0.0,0.27,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
265.0,235.0,I,76.0,Y,233.0,275.0,H,11.0,Z,90.0,-36.77,0.0,-0.25,0.0,0.27,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
266.0,235.0,I,76.0,Y,233.0,275.0,H,11.0,Z,90.0,-34.94,0.0,-0.2,0.0,0.26,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
266.0,235.0,I,76.0,Y,234.0,275.0,H,11.0,Z,90.0,-34.94,0.0,-0.2,0.0,0.26,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,2.0
267.0,235.0,I,76.0,Y,234.0,275.0,H,11.0,Z,90.0,-38.67,0.0,-0.35,0.0,0.34,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,2.0
267.0,235.0,I,76.0,Y,235.0,275.0,H,11.0,Z,90.0,-38.67,0.0,-0.35,0.0,0.34,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
268.0,235.0,I,76.0,Y,235.0,275.0,H,11.0,Z,90.0,-32.13,0.0,-0.15,0.0,0.21,0.0,-0.04,0.0,0.0,0.0,0.0,0.01,2.0
268.0,235.0,I,76.0,Y,236.0,275.0,H,11.0,Z,90.0,-32.13,0.0,-0.15,0.0,0.21,0.0,-0.07,0.0,0.0,0.0,0.0,0.01,2.0
269.0,235.0,I,46.0,Y,236.0,275.0,H,11.0,Z,90.0,-18.58,0.0,-0.03,0.0,0.06,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
237.0,235.0,I,46.0,Z,251.0,275.0,H,11.0,X,90.0,-18.3,0.0,0.03,0.0,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,2.0
237.0,235.0,I,46.0,Z,278.0,275.0,H,11.0,Y,90.0,-15.38,0.0,0.03,0.0,-0.03,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,2.0
238.0,235.0,I,76.0,Z,278.0,275.0,H,11.0,Y,90.0,-29.0,0.0,-0.08,0.0,-0.55,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,2.0
238.0,235.0,I,76.0,Z,279.0,275.0,H,11.0,Y,90.0,-29.0,0.0,-0.08,0.0,-0.55,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,2.0
238.0,235.0,I,76.0,Z,468.0,235.0,S,15.0,YZ,57.9946167919165,-29.0,0.0,-0.08,0.0,-0.55,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
238.0,235.0,I,76.0,Z,471.0,235.0,S,8.0,YZ,122.00538320808352,-29.0,0.0,-0.08,0.0,-0.55,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,8.0
239.0,235.0,I,76.0,Z,279.0,275.0,H,11.0,Y,90.0,-25.81,0.01,-0.03,0.0,-0.32,-0.02,-0.08,0.0,0.0,0.0,0.0,0.0,2.0
239.0,235.0,I,76.0,Z,280.0,275.0,H,11.0,Y,90.0,-25.81,0.01,-0.03,0.0,-0.32,-0.02,0.02,0.0,0.0,0.0,0.0,0.0,2.0
239.0,235.0,I,76.0,Z,467.0,235.0,S,15.0,YZ,122.00538320808347,-29.48,0.01,-0.03,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
239.0,235.0,I,76.0,Z,468.0,235.0,S,15.0,YZ,57.9946167919165,-29.48,0.01,-0.03,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
239.0,235.0,I,76.0,Z,484.0,235.0,S,15.0,YZ,57.9946167919165,-29.48,0.01,-0.03,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
239.0,235.0,I,76.0,Z,485.0,235.0,S,15.0,YZ,122.00538320808347,-29.48,0.01,-0.03,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
240.0,235.0,I,76.0,Z,280.0,275.0,H,11.0,Y,90.0,-30.9,-0.01,-0.17,0.0,-0.97,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2.0
240.0,235.0,I,76.0,Z,281.0,275.0,H,11.0,Y,90.0,-30.9,-0.01,-0.17,0.0,-0.97,0.02,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
240.0,235.0,I,76.0,Z,484.0,235.0,S,15.0,YZ,57.9946167919165,-30.9,-0.01,-0.17,0.0,-0.97,0.02,1.0,1.0,1.0,1.0,1.0,1.0,8.0
240.0,235.0,I,76.0,Z,487.0,235.0,S,8.0,YZ,122.00538320808352,-30.9,-0.01,-0.17,0.0,-0.97,0.02,1.0,1.0,1.0,1.0,1.0,1.0,8.0
241.0,235.0,I,76.0,Z,281.0,275.0,H,11.0,Y,90.0,-24.36,0.0,0.02,0.0,-0.12,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
241.0,235.0,I,76.0,Z,282.0,275.0,H,11.0,Y,90.0,-24.36,0.0,0.02,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
242.0,235.0,I,46.0,Z,253.0,275.0,H,11.0,X,90.0,-15.23,0.0,-0.17,0.0,-0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.0,2.0
242.0,235.0,I,46.0,Z,282.0,275.0,H,11.0,Y,90.0,-12.32,0.0,-0.17,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
242.0,235.0,I,46.0,Z,381.0,235.0,I,54.0,X,90.00005729583681,-12.32,0.0,-0.17,0.0,-0.45,0.0,-0.38,0.0,1.03,0.0,0.0,0.0,2.0
242.0,235.0,I,46.0,Z,440.0,235.0,S,8.0,XZ,57.9946167919165,-12.32,0.0,-0.17,0.0,-0.45,0.0,0.43,0.0,0.0,0.0,0.0,0.0,8.0
243.0,235.0,I,46.0,Z,252.0,275.0,H,11.0,X,90.0,-17.85,0.0,0.03,0.0,-0.1,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
243.0,235.0,I,46.0,Z,283.0,275.0,H,11.0,Y,90.0,-14.93,0.0,0.03,0.0,-0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0
244.0,235.0,I,76.0,Z,283.0,275.0,H,11.0,Y,90.0,-28.92,0.01,0.16,0.0,0.5,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,2.0
244.0,235.0,I,76.0,Z,284.0,275.0,H,11.0,Y,90.0,-28.92,0.01,0.16,0.0,0.5,-0.01,0.04,0.0,0.0,0.0,0.0,0.0,2.0
244.0,235.0,I,76.0,Z,477.0,235.0,S,8.0,YZ,122.00538320808352,-28.92,0.01,0.16,0.0,0.5,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
244.0,235.0,I,76.0,Z,478.0,235.0,S,15.0,YZ,57.9946167919165,-28.92,0.01,0.16,0.0,0.5,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
245.0,235.0,I,76.0,Z,284.0,275.0,H,11.0,Y,90.0,-27.09,-0.01,0.13,0.0,0.41,0.02,0.04,0.0,0.0,0.0,0.0,0.0,2.0
245.0,235.0,I,76.0,Z,285.0,275.0,H,11.0,Y,90.0,-27.09,-0.01,0.13,0.0,0.41,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,2.0
245.0,235.0,I,76.0,Z,478.0,235.0,S,15.0,YZ,57.9946167919165,-30.76,-0.01,0.13,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
245.0,235.0,I,76.0,Z,481.0,235.0,S,15.0,YZ,122.00538320808347,-30.76,-0.01,0.13,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
245.0,235.0,I,76.0,Z,490.0,235.0,S,15.0,YZ,122.00538320808347,-30.76,-0.01,0.13,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
245.0,235.0,I,76.0,Z,491.0,235.0,S,15.0,YZ,57.9946167919165,-30.76,-0.01,0.13,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
246.0,235.0,I,76.0,Z,285.0,275.0,H,11.0,Y,90.0,-27.41,0.0,0.12,0.0,0.32,-0.01,-0.09,0.0,0.0,0.0,0.0,0.0,2.0
246.0,235.0,I,76.0,Z,286.0,275.0,H,11.0,Y,90.0,-27.41,0.0,0.12,0.0,0.32,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
246.0,235.0,I,76.0,Z,491.0,235.0,S,15.0,YZ,57.9946167919165,-27.41,0.0,0.12,0.0,0.32,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
246.0,235.0,I,76.0,Z,492.0,235.0,S,8.0,YZ,122.00538320808352,-27.41,0.0,0.12,0.0,0.32,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
247.0,235.0,I,76.0,Z,286.0,275.0,H,11.0,Y,90.0,-29.34,0.0,0.14,0.0,0.45,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
247.0,235.0,I,76.0,Z,287.0,275.0,H,11.0,Y,90.0,-29.34,0.0,0.14,0.0,0.45,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,2.0
248.0,235.0,I,46.0,Z,287.0,275.0,H,11.0,Y,90.0,-21.12,0.0,0.09,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0
249.0,235.0,I,46.0,Z,251.0,275.0,H,11.0,X,90.0,-27.3,0.02,0.0,0.0,-0.02,0.04,-0.1,0.0,0.0,0.0,0.0,0.0,2.0
249.0,235.0,I,46.0,Z,252.0,275.0,H,11.0,X,90.0,-27.3,0.02,0.0,0.0,-0.02,0.04,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
249.0,235.0,I,46.0,Z,496.0,235.0,S,8.0,XZ,122.00538320808347,-27.3,0.02,0.0,0.0,-0.02,0.04,0.41,0.0,0.0,0.0,0.0,0.0,8.0
249.0,235.0,I,46.0,Z,499.0,235.0,S,8.0,XZ,122.00538320808347,-27.3,0.02,0.0,0.0,-0.02,0.04,1.0,1.0,1.0,1.0,1.0,1.0,8.0
249.0,235.0,I,46.0,Z,509.0,235.0,S,8.0,XZ,53.26785992364137,-27.3,0.02,0.0,0.0,-0.02,0.04,1.0,1.0,1.0,1.0,1.0,1.0,8.0
249.0,235.0,I,46.0,Z,510.0,235.0,S,8.0,XZ,53.26785992364137,-27.3,0.02,0.0,0.0,-0.02,0.04,0.33,0.0,0.0,0.0,0.0,0.0,8.0
250.0,235.0,I,76.0,Z,253.0,275.0,H,11.0,X,90.0,-29.52,0.06,0.0,0.0,0.02,0.13,0.14,0.0,0.0,0.0,0.0,0.0,2.0
250.0,235.0,I,76.0,Z,409.0,235.0,I,54.0,X,90.00000464560337,-26.31,0.06,0.0,0.0,0.01,-0.03,-0.38,0.0,-1.03,0.0,0.0,0.0,2.0
250.0,235.0,I,76.0,Z,438.0,235.0,S,8.0,XZ,122.00538320808347,-29.52,0.06,0.0,0.0,0.02,0.13,1.0,1.0,1.0,1.0,1.0,1.0,8.0
250.0,235.0,I,76.0,Z,439.0,235.0,S,8.0,XZ,122.00538320808347,-29.52,0.06,0.0,0.0,0.02,0.13,0.39,0.0,0.0,0.0,0.0,0.0,8.0
250.0,235.0,I,76.0,Z,440.0,235.0,S,8.0,XZ,57.9946167919165,-29.52,0.06,0.0,0.0,0.02,0.13,0.24,0.0,0.0,0.0,0.0,0.0,8.0
250.0,235.0,I,76.0,Z,511.0,235.0,S,8.0,XZ,53.26785992364137,-29.52,0.06,0.0,0.0,0.02,0.13,1.0,1.0,1.0,1.0,1.0,1.0,8.0
250.0,235.0,I,76.0,Z,525.0,235.0,I,31.0,X,90.0,-29.52,0.06,0.0,0.0,0.02,0.13,0.03,0.0,0.3,0.0,0.0,0.0,2.0
264.0,235.0,I,46.0,X,251.0,275.0,H,11.0,Z,90.0,-18.73,0.0,-0.07,0.0,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,2.0
276.0,235.0,I,46.0,X,251.0,275.0,H,11.0,Z,90.0,-28.38,-0.03,0.0,0.0,-0.02,0.0,-0.1,0.0,0.0,0.0,0.0,0.04,2.0
270.0,235.0,I,46.0,X,252.0,275.0,H,11.0,Z,90.0,-18.28,0.0,-0.08,0.0,-0.1,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,2.0
276.0,235.0,I,46.0,X,252.0,275.0,H,11.0,Z,90.0,-28.38,-0.03,0.0,0.0,-0.02,0.0,-0.07,0.0,0.0,0.0,0.0,0.04,2.0
269.0,235.0,I,46.0,X,253.0,275.0,H,11.0,Z,90.0,-15.67,0.0,-0.03,0.0,-0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.0,2.0
277.0,235.0,I,76.0,X,253.0,275.0,H,11.0,Z,90.0,-30.75,-0.08,0.0,0.0,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.13,2.0
270.0,235.0,I,46.0,Y,255.0,275.0,H,11.0,Z,90.0,-21.2,0.0,-0.08,0.0,0.1,0.0,-0.07,0.0,0.0,0.0,0.0,-0.01,2.0
271.0,235.0,I,76.0,Y,255.0,275.0,H,11.0,Z,90.0,-36.7,0.0,-0.01,0.0,0.12,0.0,-0.07,0.0,0.0,0.0,0.0,-0.01,2.0
271.0,235.0,I,76.0,Y,256.0,275.0,H,11.0,Z,90.0,-36.7,0.0,-0.01,0.0,0.12,0.0,-0.04,0.0,0.0,0.0,0.0,-0.01,2.0
272.0,235.0,I,76.0,Y,256.0,275.0,H,11.0,Z,90.0,-36.22,0.0,-0.04,0.0,0.18,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
272.0,235.0,I,76.0,Y,257.0,275.0,H,11.0,Z,90.0,-36.22,0.0,-0.04,0.0,0.18,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,2.0
273.0,235.0,I,76.0,Y,257.0,275.0,H,11.0,Z,90.0,-35.19,0.0,-0.05,0.0,0.14,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,2.0
273.0,235.0,I,76.0,Y,258.0,275.0,H,11.0,Z,90.0,-35.19,0.0,-0.05,0.0,0.14,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
274.0,235.0,I,76.0,Y,258.0,275.0,H,11.0,Z,90.0,-37.12,0.0,-0.03,0.0,0.17,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,2.0
274.0,235.0,I,76.0,Y,259.0,275.0,H,11.0,Z,90.0,-37.12,0.0,-0.03,0.0,0.17,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,2.0
275.0,235.0,I,46.0,Y,259.0,275.0,H,11.0,Z,90.0,-26.55,0.0,-0.1,0.0,0.11,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,2.0
264.0,235.0,I,46.0,X,260.0,275.0,H,11.0,Z,90.0,-21.65,0.0,-0.07,0.0,0.09,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,2.0
276.0,235.0,I,46.0,X,260.0,275.0,H,11.0,Z,90.0,-31.3,-0.03,0.0,0.0,-0.03,0.0,-0.28,0.0,0.0,0.0,0.0,-0.04,2.0
270.0,235.0,I,46.0,X,261.0,275.0,H,11.0,Z,90.0,-21.2,0.0,-0.08,0.0,0.1,0.0,-0.33,0.0,0.0,0.0,0.0,-0.01,2.0
276.0,235.0,I,46.0,X,261.0,275.0,H,11.0,Z,90.0,-31.3,-0.03,0.0,0.0,-0.03,0.0,-0.33,0.0,0.0,0.0,0.0,-0.04,2.0
269.0,235.0,I,46.0,X,262.0,275.0,H,11.0,Z,90.0,-18.58,0.0,-0.03,0.0,0.06,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,2.0
277.0,235.0,I,76.0,X,262.0,275.0,H,11.0,Z,90.0,-33.96,-0.08,0.0,0.0,0.03,0.0,-0.37,0.0,0.0,0.0,0.0,-0.08,2.0
277.0,235.0,I,76.0,X,263.0,235.0,I,46.0,Z,90.00000000000006,-33.96,-0.08,0.0,0.0,0.03,0.0,-0.29,0.0,5.29,0.0,0.0,-0.08,2.0
524.0,235.0,I,46.0,X,263.0,235.0,I,46.0,Z,89.99999999999994,-8.85,-0.01,0.0,0.0,0.0,0.0,-0.3,0.0,4.42,0.0,9.72,0.0,2.0
264.0,235.0,I,46.0,Z,499.0,235.0,S,8.0,XZ,57.99461679191653,-21.65,0.0,-0.07,0.0,0.09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
265.0,235.0,I,76.0,Z,467.0,235.0,S,15.0,YZ,57.99461679191653,-36.77,0.0,-0.25,0.0,0.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
266.0,235.0,I,76.0,Z,467.0,235.0,S,15.0,YZ,57.99461679191653,-31.27,0.0,-0.2,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
266.0,235.0,I,76.0,Z,468.0,235.0,S,15.0,YZ,122.00538320808352,-31.27,0.0,-0.2,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
266.0,235.0,I,76.0,Z,484.0,235.0,S,15.0,YZ,122.00538320808352,-31.27,0.0,-0.2,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
266.0,235.0,I,76.0,Z,485.0,235.0,S,15.0,YZ,57.99461679191653,-31.27,0.0,-0.2,0.0,-0.25,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
267.0,235.0,I,76.0,Z,485.0,235.0,S,15.0,YZ,57.99461679191653,-38.67,0.0,-0.35,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
269.0,235.0,I,46.0,Z,438.0,235.0,S,8.0,XZ,57.99461679191653,-18.58,0.0,-0.03,0.0,0.06,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
270.0,235.0,I,46.0,Z,496.0,235.0,S,8.0,XZ,57.99461679191653,-21.2,0.0,-0.08,0.0,0.1,-0.01,0.22,0.0,0.0,0.0,0.0,0.0,8.0
271.0,235.0,I,76.0,Z,481.0,235.0,S,15.0,YZ,57.99461679191653,-36.7,0.0,-0.01,0.0,0.12,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
272.0,235.0,I,76.0,Z,478.0,235.0,S,15.0,YZ,122.00538320808352,-32.55,0.0,-0.04,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
272.0,235.0,I,76.0,Z,481.0,235.0,S,15.0,YZ,57.99461679191653,-32.55,0.0,-0.04,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
272.0,235.0,I,76.0,Z,490.0,235.0,S,15.0,YZ,57.99461679191653,-32.55,0.0,-0.04,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
272.0,235.0,I,76.0,Z,491.0,235.0,S,15.0,YZ,122.00538320808352,-32.55,0.0,-0.04,0.0,0.08,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
273.0,235.0,I,76.0,Z,490.0,235.0,S,15.0,YZ,57.99461679191653,-35.19,0.0,-0.05,0.0,0.14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
276.0,235.0,I,46.0,Z,496.0,235.0,S,8.0,XZ,57.99461679191653,-28.38,-0.03,0.0,0.0,-0.02,0.04,0.41,0.0,0.0,0.0,0.0,0.0,8.0
276.0,235.0,I,46.0,Z,499.0,235.0,S,8.0,XZ,57.99461679191653,-28.38,-0.03,0.0,0.0,-0.02,0.04,1.0,1.0,1.0,1.0,1.0,1.0,8.0
276.0,235.0,I,46.0,Z,509.0,235.0,S,8.0,XZ,126.73214007635862,-28.38,-0.03,0.0,0.0,-0.02,0.04,1.0,1.0,1.0,1.0,1.0,1.0,8.0
276.0,235.0,I,46.0,Z,510.0,235.0,S,8.0,XZ,126.73214007635862,-28.38,-0.03,0.0,0.0,-0.02,0.04,0.33,0.0,0.0,0.0,0.0,0.0,8.0
277.0,235.0,I,76.0,Z,438.0,235.0,S,8.0,XZ,57.99461679191653,-30.75,-0.08,0.0,0.0,0.02,0.13,1.0,1.0,1.0,1.0,1.0,1.0,8.0
277.0,235.0,I,76.0,Z,439.0,235.0,S,8.0,XZ,57.99461679191653,-30.75,-0.08,0.0,0.0,0.02,0.13,0.39,0.0,0.0,0.0,0.0,0.0,8.0
277.0,235.0,I,76.0,Z,440.0,235.0,S,8.0,XZ,122.00538320808352,-30.75,-0.08,0.0,0.0,0.02,0.13,0.24,0.0,0.0,0.0,0.0,0.0,8.0
277.0,235.0,I,76.0,Z,511.0,235.0,S,8.0,XZ,126.73214007635862,-30.75,-0.08,0.0,0.0,0.02,0.13,1.0,1.0,1.0,1.0,1.0,1.0,8.0
277.0,235.0,I,76.0,Z,525.0,235.0,I,31.0,X,90.0,-30.75,-0.08,0.0,0.0,0.02,0.13,0.03,0.0,0.3,0.0,0.0,0.0,2.0
292.0,235.0,I,46.0,Y,278.0,275.0,H,11.0,Z,90.0,-15.16,0.02,0.03,0.0,-0.03,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,2.0
293.0,235.0,I,76.0,Y,278.0,275.0,H,11.0,Z,90.0,-28.07,0.02,-0.08,0.0,-0.55,0.0,-0.02,0.0,0.0,0.0,0.0,0.01,2.0
293.0,235.0,I,76.0,Y,279.0,275.0,H,11.0,Z,90.0,-28.07,0.02,-0.08,0.0,-0.55,0.0,-0.08,0.0,0.0,0.0,0.0,0.01,2.0
294.0,235.0,I,76.0,Y,279.0,275.0,H,11.0,Z,90.0,-25.37,-0.09,-0.03,0.0,-0.32,0.0,-0.08,0.0,0.0,0.0,0.0,-0.02,2.0
294.0,235.0,I,76.0,Y,280.0,275.0,H,11.0,Z,90.0,-25.37,-0.09,-0.03,0.0,-0.32,0.0,0.02,0.0,0.0,0.0,0.0,-0.02,2.0
295.0,235.0,I,76.0,Y,280.0,275.0,H,11.0,Z,90.0,-29.94,0.02,-0.17,0.0,-0.97,0.0,0.02,0.0,0.0,0.0,0.0,0.02,2.0
295.0,235.0,I,76.0,Y,281.0,275.0,H,11.0,Z,90.0,-29.94,0.02,-0.17,0.0,-0.97,0.0,-0.01,0.0,0.0,0.0,0.0,0.02,2.0
296.0,235.0,I,76.0,Y,281.0,275.0,H,11.0,Z,90.0,-23.92,-0.01,0.02,0.0,-0.12,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
296.0,235.0,I,76.0,Y,282.0,275.0,H,11.0,Z,90.0,-23.92,-0.01,0.02,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
297.0,235.0,I,46.0,Y,282.0,275.0,H,11.0,Z,90.0,-10.71,0.0,-0.07,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
298.0,235.0,I,46.0,Y,283.0,275.0,H,11.0,Z,90.0,-14.71,0.0,0.03,0.0,-0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0
299.0,235.0,I,76.0,Y,283.0,275.0,H,11.0,Z,90.0,-27.97,-0.03,0.16,0.0,0.5,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,2.0
299.0,235.0,I,76.0,Y,284.0,275.0,H,11.0,Z,90.0,-27.97,-0.03,0.16,0.0,0.5,0.0,0.04,0.0,0.0,0.0,0.0,-0.01,2.0
300.0,235.0,I,76.0,Y,284.0,275.0,H,11.0,Z,90.0,-26.66,0.12,0.13,0.0,0.41,0.0,0.04,0.0,0.0,0.0,0.0,0.02,2.0
300.0,235.0,I,76.0,Y,285.0,275.0,H,11.0,Z,90.0,-26.66,0.12,0.13,0.0,0.41,0.0,-0.09,0.0,0.0,0.0,0.0,0.02,2.0
301.0,235.0,I,76.0,Y,285.0,275.0,H,11.0,Z,90.0,-26.46,-0.01,0.12,0.0,0.32,0.0,-0.09,0.0,0.0,0.0,0.0,-0.01,2.0
301.0,235.0,I,76.0,Y,286.0,275.0,H,11.0,Z,90.0,-26.46,-0.01,0.12,0.0,0.32,0.0,-0.07,0.0,0.0,0.0,0.0,-0.01,2.0
302.0,235.0,I,76.0,Y,286.0,275.0,H,11.0,Z,90.0,-28.91,-0.08,0.14,0.0,0.45,0.0,-0.07,0.0,0.0,0.0,0.0,-0.01,2.0
