Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
193.0,355.0,I,131.0,X,171.0,275.0,H,11.0,Z,90.0,-8.17,0.02,0.13,0.0,-0.36,0.0,-0.98,0.0,0.22,0.0,0.0,0.02,1.0
171.0,275.0,H,11.0,X,214.0,235.0,S,15.0,XZ,34.992020198558656,-0.98,0.0,-0.22,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,7.0
171.0,275.0,H,11.0,X,215.0,235.0,S,15.0,XZ,34.992020198558656,-0.98,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
188.0,355.0,I,112.0,X,172.0,275.0,H,11.0,Z,90.0,-43.87,0.0,0.25,0.0,-0.49,0.0,-1.15,0.0,0.22,0.0,0.0,0.0,1.0
194.0,355.0,I,131.0,X,172.0,275.0,H,11.0,Z,90.0,-7.45,0.0,0.12,0.0,-0.33,0.0,-1.15,0.0,-0.22,0.0,0.0,0.0,1.0
172.0,275.0,H,11.0,X,212.0,235.0,S,15.0,XZ,34.992020198558656,-1.15,0.0,-0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
172.0,275.0,H,11.0,X,213.0,235.0,S,15.0,XZ,34.992020198558656,-1.15,0.0,0.22,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,7.0
182.0,355.0,I,112.0,X,173.0,275.0,H,11.0,Z,90.0,-42.59,0.0,0.21,0.0,-0.19,0.0,-0.96,0.0,-0.22,0.0,0.0,0.0,1.0
194.0,355.0,I,131.0,X,173.0,275.0,H,11.0,Z,90.0,-7.45,0.0,0.12,0.0,-0.33,0.0,-0.96,0.0,0.22,0.0,0.0,0.0,1.0
173.0,275.0,H,11.0,X,210.0,235.0,S,15.0,XZ,34.992020198558656,-0.96,0.0,-0.22,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,7.0
173.0,275.0,H,11.0,X,211.0,235.0,S,15.0,XZ,34.992020198558656,-0.96,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
189.0,355.0,I,112.0,X,174.0,275.0,H,11.0,Z,90.0,-43.85,0.0,0.31,0.0,-0.7,0.0,-1.27,0.0,0.22,0.0,0.0,0.0,1.0
195.0,355.0,I,131.0,X,174.0,275.0,H,11.0,Z,90.0,-8.15,0.0,0.19,0.0,-0.54,0.0,-1.27,0.0,-0.22,0.0,0.0,0.0,1.0
174.0,275.0,H,11.0,X,208.0,235.0,S,15.0,XZ,34.992020198558656,-1.27,0.0,-0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
174.0,275.0,H,11.0,X,209.0,235.0,S,15.0,XZ,34.992020198558656,-1.27,0.0,0.22,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,7.0
183.0,355.0,I,112.0,X,175.0,275.0,H,11.0,Z,90.0,-47.33,0.0,0.34,0.0,-0.39,0.0,-0.94,0.0,-0.22,0.0,0.0,0.0,1.0
